field,data_type,description
home_win_probability,numeric,"Based on the pregame spread, amount of time remaining in the game, which team has possession, and the current point differential in the game, the modeled probability that the home team wins the game immediately following the play."
period,integer,The period that the play takes place in.
clock,character,The time showing on the game clock when the play occurs.
seconds_remaining,integer,The total number of seconds remaining in the period when the play takes place.
scoring_play,logical,A boolean indicating whether or not points were scored on the play.
shooting_play,logical,A boolean indicating whether or not the play was a shooting play.
score_value,integer,The number of points scored on the play.
wall_clock,character,"The timestamp for when the play ocurred, given in ISO 8601 format in the GMT time zone."
play_text,character,Text indicating what happened on the play.
clean_sub_data,logical,"A boolean indicating if clean substitution data is available for the game in which the play occurred. If data is unclean, either more or fewer than 10 players were recorded on the court at a given time during the game."
